STRIKE,DTE,MARK_IV,BID_PRICE,ASK_PRICE,QUOTE_DATE,EXPIRY_DATE,DELTA,GAMMA,VEGA,THETA,MONEYNESS,NEGOTIATED_PRICE
68000,462,0.7150682210922241,24.270326614379883,24.290180206298828,2013-03-15,2014-06-20,0.5840295553207397,0.0046486901119351,16.967395782470703,-38.403446197509766,0.001172794117647,0.0198535919189453
82000,14,0.631872832775116,24.41595268249512,24.42595268249512,2013-03-01,2013-03-15,-0.2653416991233825,0.0055153546854853,20.87523651123047,-25.65142250061035,0.0008602439136097,0.0100000000000015
48000,1745,0.7451276779174805,26.12198257446289,26.55259895324707,2013-03-06,2017-12-15,0.6476662755012512,0.002436340553686,17.452728271484375,-16.73963737487793,0.0014931249618541,0.4306163787841797
68000,1739,0.6767004728317261,24.25433921813965,24.427982330322266,2013-03-12,2017-12-15,0.6255466938018799,0.0048477430827915,16.71536636352539,-28.53935813903809,0.001151029362397,0.1736431121826172
92000,1750,0.6106285452842712,25.982452392578125,26.197200775146484,2013-03-01,2017-12-15,-0.3473225831985473,0.0064591215923428,24.91157913208008,-29.57596015930176,0.0007667391403913,0.2147483825683593
60000,1382,0.6928554773330688,24.8138427734375,24.8238427734375,2013-03-05,2016-12-16,0.7353237867355347,0.0056999931111931,13.308133125305176,-25.357147216796875,0.0011939999898333,0.0100000000000015
84000,1380,0.6297006011009216,24.249900817871094,24.25990081787109,2013-03-07,2016-12-16,-0.2684306502342224,0.005997609347105,23.74727249145508,-30.82061767578125,0.0009092856815833,0.0100000000000015
36000,284,0.7136426568031311,29.572141647338867,32.436336517333984,2013-03-11,2013-12-20,0.5225379467010498,0.0014362385263666,17.577219009399414,-15.583333969116213,0.0021597222222222,2.864194869995117
52000,46,0.7277534604072571,25.63974952697754,25.64974952697754,2013-03-04,2013-04-19,0.6928989291191101,0.0037503796629607,15.79523468017578,-20.224853515625,0.0013515384380576,0.0100000000000015
40000,1010,0.69417804479599,28.722307205200195,32.05850982666016,2013-03-13,2015-12-18,0.5335703492164612,0.0015322292456403,17.381834030151367,-13.776805877685549,0.00197224998475,3.336202621459961
58000,42,0.7260616421699524,25.72513198852539,25.735131988525392,2013-03-08,2013-04-19,0.6851059794425964,0.0025538441259413,16.486621856689453,-19.39826011657715,0.0013137930508275,0.0100000000000015
64000,36,0.7259549498558044,24.938308715820312,24.948308715820318,2013-03-14,2013-04-19,0.6755002737045288,0.0043865544721484,16.23930549621582,-36.71147918701172,0.0012328125238437,0.0100000000000015
84000,46,0.599172055721283,24.61833000183105,24.628330001831056,2013-03-04,2013-04-19,-0.2458880841732025,0.0066721709445118,22.38326644897461,-29.652362823486328,0.0008366666521309,0.0100000000000015
90000,42,0.6299523115158081,24.849912643432617,24.85991264343262,2013-03-08,2013-04-19,-0.2979020774364471,0.006045448128134,23.437395095825195,-26.412029266357425,0.0008466666327555,0.0100000000000015
48000,36,0.6811922192573547,27.283151626586918,29.12804412841797,2013-03-14,2013-04-19,0.5392130017280579,0.0016113579040393,17.127727508544922,-13.645829200744627,0.0016437500317916,1.844892501831055
52000,836,0.7331829071044922,25.624223709106445,25.672607421875,2013-03-05,2015-06-19,0.6669784188270569,0.0034872600808739,17.624347686767578,-18.44455909729004,0.0013776922959615,0.0483837127685546
76000,834,0.6529735922813416,24.22304916381836,24.23304916381836,2013-03-07,2015-06-19,0.0422237031161785,0.0050745261833071,10.123950958251951,-29.88428497314453,0.0010049999638552,0.0100000000000015
64000,74,0.6454684734344482,24.70074462890625,24.71074462890625,2013-03-04,2013-05-17,0.7382529973983765,0.0065076597966253,14.849808692932127,-28.724157333374023,0.0010981249809218,0.0100000000000015
70000,70,0.6541081070899963,24.28454971313477,24.294549713134767,2013-03-08,2013-05-17,0.6013964414596558,0.0051887752488255,17.41410255432129,-26.32679748535156,0.0010885713849714,0.0100000000000015
76000,64,0.6820518374443054,24.00558853149414,24.024471282958984,2013-03-14,2013-05-17,0.1565632075071334,0.0047436845488846,11.564335823059082,-38.43753433227539,0.0010381579148157,0.0188827514648437
92000,1019,0.6067237854003906,26.026123046875,26.18195343017578,2013-03-04,2015-12-18,-0.3233944177627563,0.0064380816183984,23.684675216674805,-29.052536010742188,0.0007639130302065,0.1558303833007812
50000,196,0.7118412256240845,27.010814666748047,27.399946212768555,2013-03-08,2013-09-20,0.5467240810394287,0.0019032089039683,17.59371566772461,-16.840782165527344,0.00152399993896,0.3891315460205078
60000,190,0.756243109703064,25.39969253540039,25.409692535400392,2013-03-14,2013-09-20,0.6567580699920654,0.0038601765409111,17.976343154907227,-36.243900299072266,0.0013150000254333,0.0100000000000015
100000,840,0.6399462819099426,26.206823348999023,26.86201477050781,2013-03-01,2015-06-19,-0.3282036781311035,0.0060866582207381,24.708919525146484,-29.691282272338867,0.0007054000091599,0.6551914215087891
98000,36,0.6549087762832642,25.48473358154297,25.49473358154297,2013-03-14,2013-04-19,-0.3613762259483337,0.0054922280833125,24.63825225830078,-39.420875549316406,0.0008051020563877,0.0100000000000015
44000,290,0.7469090223312378,26.43328857421875,28.105188369750977,2013-03-05,2013-12-20,0.6552734375,0.0023202595766633,17.301050186157227,-16.600515365600586,0.0016281818043181,1.6718997955322266
84000,11,0.599172055721283,24.61833000183105,24.628330001831056,2013-03-04,2013-03-15,-0.2458880841732025,0.0066721709445118,22.38326644897461,-29.652362823486328,0.0008366666521309,0.0100000000000015
68000,280,0.7150682210922241,24.270326614379883,24.290180206298828,2013-03-15,2013-12-20,0.5840295553207397,0.0046486901119351,16.967395782470703,-38.403446197509766,0.001172794117647,0.0198535919189453
54000,3,0.6488052010536194,26.346385955810547,26.58961296081543,2013-03-12,2013-03-15,0.6793347001075745,0.0022076470777392,17.82537269592285,-13.49740982055664,0.0014494443822777,0.2432270050048828
44000,472,0.7469090223312378,26.43328857421875,28.105188369750977,2013-03-05,2014-06-20,0.6552734375,0.0023202595766633,17.301050186157227,-16.600515365600586,0.0016281818043181,1.6718997955322266
66000,14,0.6706047654151917,24.793190002441406,24.803190002441408,2013-03-01,2013-03-15,0.7128517627716064,0.0058062248863279,13.49517059326172,-25.202430725097656,0.0010687878926666,0.0100000000000015
60000,470,0.7380858063697815,25.517078399658203,25.527078399658205,2013-03-07,2014-06-20,0.7431803345680237,0.0042375181801617,15.283577919006348,-30.004018783569336,0.0012729999542166,0.0100000000000015
74000,9,0.6509851813316345,24.415626525878903,24.425626525878908,2013-03-06,2013-03-15,0.2924835383892059,0.0057882359251379,14.390380859375,-25.85834503173828,0.0009685134887702,0.0100000000000015
84000,466,0.630376935005188,24.397216796875,24.407216796875,2013-03-11,2014-06-20,-0.3317663967609405,0.0060134828090667,27.20236587524414,-30.827531814575195,0.0009255952380952,0.0100000000000015
86000,3,0.6271002888679504,24.285985946655277,24.505142211914062,2013-03-12,2013-03-15,-0.3486103117465973,0.0059125209227204,25.88627815246582,-30.005016326904297,0.0009101162400348,0.219156265258789
52000,646,0.6406833529472351,26.736549377441406,28.272470474243164,2013-03-13,2014-12-19,0.6633092761039734,0.0020392783917486,17.115694046020508,-13.845396995544434,0.0015171153728846,1.5359210968017578
92000,14,0.6106285452842712,25.982452392578125,26.197200775146484,2013-03-01,2013-03-15,-0.3473225831985473,0.0064591215923428,24.91157913208008,-29.57596015930176,0.0007667391403913,0.2147483825683593
76000,644,0.7049271464347839,23.97849464416504,24.02320098876953,2013-03-15,2014-12-19,0.0888694748282432,0.0045719374902546,12.297374725341797,-38.35649490356445,0.0010493421052631,0.0447063446044921
100000,647,0.6345983147621155,25.97494125366211,25.98494125366211,2013-03-12,2014-12-19,-0.3588871359825134,0.0054040681570768,24.043228149414062,-29.51067924499512,0.00078269996643,0.0100000000000015
52000,1018,0.7331829071044922,25.624223709106445,25.672607421875,2013-03-05,2015-12-18,0.6669784188270569,0.0034872600808739,17.624347686767578,-18.44455909729004,0.0013776922959615,0.0483837127685546
60000,1750,0.6935853958129883,24.698070526123047,24.70807052612305,2013-03-01,2017-12-15,0.7366883754730225,0.0059775891713798,14.853318214416504,-24.961917877197266,0.0011756666819333,0.0100000000000015
76000,1016,0.6529735922813416,24.22304916381836,24.23304916381836,2013-03-07,2015-12-18,0.0422237031161785,0.0050745261833071,10.123950958251951,-29.88428497314453,0.0010049999638552,0.0100000000000015
76000,1745,0.6459099054336548,24.41073608398437,24.420736083984377,2013-03-06,2017-12-15,-0.0163465961813926,0.0058164452202618,11.100666046142578,-25.332334518432617,0.0009430262916973,0.0100000000000015
48000,1376,0.732687771320343,27.62681579589844,28.94393348693848,2013-03-11,2016-12-16,0.5172024965286255,0.0017274824203923,17.312959671020508,-16.140979766845703,0.0016197916666666,1.317117691040039
88000,99,0.6456385254859924,24.28398704528809,24.457077026367188,2013-03-14,2013-06-21,-0.3395560085773468,0.005875676870346,26.358179092407227,-39.47197341918945,0.0008965909264318,0.1730899810791015
68000,1374,0.6861914992332458,24.389787673950195,24.536117553710938,2013-03-13,2016-12-16,0.6286159753799438,0.0047760815359652,16.6588191986084,-35.06136703491211,0.0011601470498529,0.1463298797607422
88000,291,0.6019713878631592,25.166187286376957,25.176187286376955,2013-03-04,2013-12-20,-0.2948454022407532,0.0065859863534569,23.2143611907959,-29.13811492919922,0.0007986363497613,0.0100000000000015
51000,42,0.7038534283638,26.87189292907715,27.042234420776367,2013-03-08,2013-04-19,0.5492334365844727,0.0021838396787643,17.694509506225586,-16.872451782226562,0.0014941175872156,0.1703414916992187
40000,654,0.7474995255470276,27.476791381835938,28.93763542175293,2013-03-05,2014-12-19,0.5251728296279907,0.0021472466178238,17.17629623413086,-16.524608612060547,0.00179099998475,1.4608440399169922
56000,36,0.8296074271202087,25.929445266723636,26.305694580078125,2013-03-14,2013-04-19,0.6718100309371948,0.0021286520641297,17.554750442504883,-25.075254440307617,0.0014089285986785,0.3762493133544922
60000,46,0.6398419737815857,24.78502655029297,24.79502655029297,2013-03-04,2013-04-19,0.7553421258926392,0.0060409842990338,14.590177536010742,-24.102783203125,0.0011713333129833,0.0100000000000015
66000,42,0.6722525358200073,24.887977600097656,24.897977600097654,2013-03-08,2013-04-19,0.6855826377868652,0.0049830195493996,15.868311882019045,-26.48908042907715,0.001154545408303,0.0100000000000015
72000,36,0.684170663356781,24.063026428222656,24.073026428222654,2013-03-14,2013-04-19,0.1250028163194656,0.0047755474224686,11.329538345336914,-38.44537353515625,0.0010958333545277,0.0100000000000015
76000,46,0.6102273464202881,24.48614883422852,24.49614883422852,2013-03-04,2013-04-19,0.003938065841794,0.0059450534172356,12.782547950744627,-23.9604434967041,0.0009247368260394,0.0100000000000015
82000,42,0.645584225654602,24.220386505126957,24.230386505126955,2013-03-08,2013-04-19,-0.236656442284584,0.0048389295116066,20.524471282958984,-26.905216217041016,0.0009292682554634,0.0100000000000015
46000,108,0.7524527907371521,26.31126594543457,27.12237548828125,2013-03-05,2013-06-21,0.6560811400413513,0.0024380267132073,17.14807891845703,-16.761154174804688,0.0015573912910869,0.8111095428466797
88000,36,0.6456385254859924,24.28398704528809,24.457077026367188,2013-03-14,2013-04-19,-0.3395560085773468,0.005875676870346,26.358179092407227,-39.47197341918945,0.0008965909264318,0.1730899810791015
92000,46,0.6067237854003906,26.026123046875,26.18195343017578,2013-03-04,2013-04-19,-0.3233944177627563,0.0064380816183984,23.684675216674805,-29.052536010742188,0.0007639130302065,0.1558303833007812
64000,106,0.6900261640548706,25.03167724609375,25.04167724609375,2013-03-07,2013-06-21,0.680248498916626,0.0047586872242391,16.255126953125,-30.113161087036133,0.0011934374570781,0.0100000000000015
50000,4,0.7127918601036072,27.231990814208984,28.023038864135746,2013-03-11,2013-03-15,0.5182480812072754,0.0018306964775547,17.239892959594727,-16.16377067565918,0.001555,0.7910480499267578
49000,70,0.7249774932861328,27.18187713623047,27.84471702575684,2013-03-08,2013-05-17,0.5461711883544922,0.0019032089039683,17.53175926208496,-16.842002868652344,0.0015551019785306,0.6628398895263672
44000,830,0.7395513653755188,27.979278564453125,30.147476196289062,2013-03-11,2015-06-19,0.5172024965286255,0.0017495057545602,17.574792861938477,-16.17258644104004,0.0017670454545454,2.168197631835937
52000,64,0.6402578949928284,26.51997184753418,28.01854133605957,2013-03-14,2013-05-17,0.6695002913475037,0.002028057584539,17.143083572387695,-13.76447582244873,0.0015173077216538,1.4985694885253906
60000,828,0.753713846206665,25.62311363220215,25.63311363220215,2013-03-13,2015-06-19,0.6711771488189697,0.0038803692441433,17.80706024169922,-33.8600959777832,0.0013148333231666,0.0100000000000015
56000,74,0.7396884560585022,25.01629638671875,25.02629638671875,2013-03-04,2013-05-17,0.7411856651306152,0.0042305039241909,13.457271575927734,-22.61554908752441,0.0012549999781964,0.0100000000000015
60000,2,0.753713846206665,25.62311363220215,25.63311363220215,2013-03-13,2013-03-15,0.6711771488189697,0.0038803692441433,17.80706024169922,-33.8600959777832,0.0013148333231666,0.0100000000000015
84000,826,0.6508933901786804,24.0411434173584,24.0511434173584,2013-03-15,2015-06-19,-0.3370943963527679,0.005813589785248,26.1718692779541,-39.912784576416016,0.0009494047619047,0.0100000000000015
80000,112,0.6305914521217346,24.417238235473636,24.427238235473634,2013-03-01,2013-06-21,-0.2300080507993698,0.0060307052917778,21.91942405700684,-25.836196899414062,0.00088175001145,0.0100000000000015
62000,70,0.7142520546913147,24.942100524902344,24.952100524902345,2013-03-08,2013-05-17,0.6830227375030518,0.0044287056662142,16.076534271240234,-26.13228416442871,0.0012290322088387,0.0100000000000015
68000,64,0.6928954124450684,24.25263214111328,24.35654067993164,2013-03-14,2013-05-17,0.6266984939575195,0.0047648609615862,16.66739273071289,-38.53363037109375,0.0011602941400882,0.1039085388183593
72000,0,0.7069816589355469,24.085603713989254,24.09560371398926,2013-03-15,2013-03-15,0.0533396750688552,0.004596269223839,11.89770221710205,-38.206844329833984,0.0011076388888888,0.0100000000000015
100000,471,0.6346139311790466,26.048131942749023,26.33251571655273,2013-03-06,2014-06-20,-0.3511404991149902,0.0058910772204399,24.94571304321289,-26.036346435546875,0.0007166999816899,0.2843837738037109
72000,74,0.6555582880973816,24.516345977783203,24.526345977783205,2013-03-04,2013-05-17,0.6421200037002563,0.0060221757739782,18.94918441772461,-24.31597328186035,0.0009761110941527,0.0100000000000015
78000,70,0.6249004006385803,24.20654296875,24.21654296875,2013-03-08,2013-05-17,-0.2086842507123947,0.0053679589182138,19.72869110107422,-26.99565696716309,0.0009769230377948,0.0100000000000015
84000,64,0.6443650722503662,24.0141716003418,24.0241716003418,2013-03-14,2013-05-17,-0.1369994133710861,0.0057168249040842,19.270938873291016,-39.969970703125,0.0009392857324523,0.0100000000000015
48000,108,0.7444621324539185,26.154220581054688,26.60019874572754,2013-03-05,2013-06-21,0.654501736164093,0.002436340553686,17.097442626953125,-16.65802764892578,0.0014924999872916,0.4459781646728515
88000,74,0.6019713878631592,25.166187286376957,25.176187286376955,2013-03-04,2013-05-17,-0.2948454022407532,0.0065859863534569,23.2143611907959,-29.13811492919922,0.0007986363497613,0.0100000000000015
94000,70,0.631788969039917,25.36956787109375,25.37956787109375,2013-03-08,2013-05-17,-0.2892789244651794,0.0056905997917056,21.82495880126953,-26.438262939453125,0.0008106382654042,0.0100000000000015
52000,200,0.7277534604072571,25.63974952697754,25.64974952697754,2013-03-04,2013-09-20,0.6928989291191101,0.0037503796629607,15.79523468017578,-20.224853515625,0.0013515384380576,0.0100000000000015
68000,106,0.6602646112442017,24.39111328125,24.40111328125,2013-03-07,2013-06-21,0.6337649822235107,0.0051199779845774,17.01473045349121,-30.40973854064941,0.0011232352537205,0.0100000000000015
120000,471,0.6993018984794617,26.486106872558597,27.39364242553711,2013-03-06,2014-06-20,-0.3488751649856567,0.0044915657490491,23.638490676879883,-25.850528717041016,0.0005972499847416,0.9075355529785156
100000,1011,0.6345983147621155,25.97494125366211,25.98494125366211,2013-03-12,2015-12-18,-0.3588871359825134,0.0054040681570768,24.043228149414062,-29.51067924499512,0.00078269996643,0.0100000000000015
64000,196,0.6859784722328186,25.03167724609375,25.04167724609375,2013-03-08,2013-09-20,0.6809334754943848,0.0047800815664231,16.407398223876953,-26.12269592285156,0.0011906249523125,0.0100000000000015
92000,102,0.634086549282074,25.316856384277344,25.326856384277345,2013-03-11,2013-06-21,-0.3309760689735412,0.005932745989412,26.43781280517578,-30.38612365722656,0.0008451086956521,0.0100000000000015
48000,77,0.7485918402671814,26.055923461914062,26.065923461914064,2013-03-01,2013-05-17,0.6631396412849426,0.0026932996697723,16.77405548095703,-16.338775634765625,0.0014695833524166,0.0100000000000015
76000,190,0.6820518374443054,24.00558853149414,24.024471282958984,2013-03-14,2013-09-20,0.1565632075071334,0.0047436845488846,11.564335823059082,-38.43753433227539,0.0010381579148157,0.0188827514648437
92000,190,0.6501624584197998,24.97829818725586,24.98829818725586,2013-03-14,2013-09-20,-0.3865702748298645,0.0059274244122207,26.754920959472656,-39.47735977172852,0.0008576087122391,0.0100000000000015
48000,282,0.6801396012306213,27.546566009521484,29.024259567260746,2013-03-13,2013-12-20,0.5313021540641785,0.0016225782455876,17.11919403076172,-13.74518871307373,0.0016435416539583,1.4776935577392578
52000,284,0.6929885745048523,26.935827255249023,27.38382911682129,2013-03-11,2013-12-20,0.5195263624191284,0.002205042168498,17.362924575805664,-16.199438095092773,0.0014951923076923,0.4480018615722656
84000,1,0.6443650722503662,24.0141716003418,24.0241716003418,2013-03-14,2013-03-15,-0.1369994133710861,0.0057168249040842,19.270938873291016,-39.969970703125,0.0009392857324523,0.0100000000000015
84000,196,0.626334547996521,24.249900817871094,24.25990081787109,2013-03-08,2013-09-20,-0.2685788869857788,0.006019003689289,23.93956756591797,-26.949914932250977,0.0009071428208095,0.0100000000000015
68000,290,0.6667459011077881,24.597007751464844,24.607007751464845,2013-03-05,2013-12-20,0.7203779220581055,0.005822246428579,15.227834701538086,-25.46839141845703,0.0010535294027941,0.0100000000000015
76000,282,0.6731427311897278,24.160512924194336,24.19355010986328,2013-03-13,2013-12-20,0.1604781299829483,0.0047549051232635,10.708470344543455,-34.95632553100586,0.0010380263077631,0.0330371856689453
49000,3,0.6725394129753113,27.163949966430664,28.730030059814453,2013-03-12,2013-03-15,0.5368150472640991,0.0017866501584649,17.313920974731445,-12.400506973266602,0.0015973468702653,1.566080093383789
51000,9,0.748937726020813,25.626239776611328,25.63623977661133,2013-03-06,2013-03-15,0.6566696763038635,0.0031912853009998,17.633193969726562,-18.091672897338867,0.001405294081745,0.0100000000000015
92000,288,0.6337785124778748,25.23513984680176,25.24513984680176,2013-03-07,2013-12-20,-0.2699496150016784,0.0058696162886917,23.33666038513184,-30.347919464111328,0.0008302173614456,0.0100000000000015
44000,462,0.6912842392921448,27.79586410522461,30.70451545715332,2013-03-15,2014-06-20,0.5180891156196594,0.0015030712820589,17.569398880004883,-13.421805381774902,0.0018125,2.908651351928711
58000,14,0.7403567433357239,24.76305389404297,24.77305389404297,2013-03-01,2013-03-15,0.7430003881454468,0.0042907381430268,12.624444961547852,-23.698434829711918,0.0012162069123448,0.0100000000000015
62000,3,0.7252271771430969,24.979440689086918,24.98944068908692,2013-03-12,2013-03-15,0.6652997732162476,0.0041572488844394,16.22706413269043,-27.90350341796875,0.0012624193006935,0.0100000000000015
52000,466,0.6929885745048523,26.935827255249023,27.38382911682129,2013-03-11,2014-06-20,0.5195263624191284,0.002205042168498,17.362924575805664,-16.199438095092773,0.0014951923076923,0.4480018615722656
66000,9,0.6657174825668335,24.87064743041992,24.880647430419923,2013-03-06,2013-03-15,0.7406213283538818,0.0056811068207025,13.952184677124023,-26.168441772460938,0.0010859090631666,0.0100000000000015
74000,14,0.6555458307266235,24.411426544189453,24.42142654418945,2013-03-01,2013-03-15,0.2774350047111511,0.0058686640113592,15.383667945861816,-24.915977478027344,0.0009532432556216,0.0100000000000015
68000,472,0.6667459011077881,24.597007751464844,24.607007751464845,2013-03-05,2014-06-20,0.7203779220581055,0.005822246428579,15.227834701538086,-25.46839141845703,0.0010535294027941,0.0100000000000015
76000,464,0.6731427311897278,24.160512924194336,24.19355010986328,2013-03-13,2014-06-20,0.1604781299829483,0.0047549051232635,10.708470344543455,-34.95632553100586,0.0010380263077631,0.0330371856689453
